learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.146184901,2.5338152752050924E-9,100.0,55.00000000000001,19.81468282252317,31.818181818181824,-36.36363636363637,62.674452577983196,54.54545454545454,55.44554455445544,62.77573529411764,84.375,41.17647058823529,62.57349615558571,40.298507462686565,84.84848484848484,100.0,67000.0
200.0,0.204175206,3.5411185186356304E-9,200.0,60.0,19.73512591552121,39.84962406015037,-19.402985074626887,60.43048615255503,65.8119658119658,51.80722891566265,59.835983598359846,76.23762376237624,43.43434343434344,61.036920659858595,57.89473684210527,64.17910447761194,200.0,67144.0
300.0,0.232664864,4.0362254488095635E-9,300.0,59.333333333333336,12.440191387559816,39.00000000000001,-21.99999999999997,56.2757478299218,68.06282722513089,44.03669724770643,56.05326876513317,71.42857142857143,40.67796610169492,56.49999999999999,65.0,48.0,300.0,67176.0
400.0,0.25750842,4.469768243858383E-9,400.0,57.99999999999999,12.761261846033998,37.07865168539325,-0.5988023952095947,56.39342133872588,64.85355648535565,47.82608695652174,56.47136273864385,63.26530612244898,49.67741935483871,56.31569479067616,66.52360515021459,46.10778443113773,400.0,67456.0
500.0,0.281518488,4.889213132663732E-9,500.0,55.60000000000001,10.09961934073055,33.53293413173654,4.72103004291846,55.083003279408175,60.498220640569386,49.31506849315068,55.155022736668045,57.6271186440678,52.6829268292683,55.011171657745415,63.670411985018724,46.3519313304721,500.0,67528.0
600.0,0.298709912,5.189717331797711E-9,600.0,57.166666666666664,14.333333333333332,35.910224438902745,14.333333333333332,57.22819972490372,59.780907668231606,54.188948306595364,57.289865391787885,56.342182890855455,58.23754789272031,57.16666666666668,63.66666666666667,50.66666666666667,600.0,67568.0
700.0,0.314375573,5.463648626868508E-9,700.0,56.714285714285715,12.969619380570188,35.25641025641026,9.009009009009022,56.49669511195401,59.867549668874176,53.0232558139535,56.52755749405234,58.24742268041238,54.807692307692314,56.4658664113705,61.58038147138964,51.35135135135135,700.0,67592.0
800.0,0.33119889,5.757822809062069E-9,800.0,58.25,15.61234737899279,37.57009345794393,8.99182561307902,57.814324064173114,62.217194570135746,53.35195530726258,57.85170172618632,60.97560975609756,54.72779369627507,57.7769946699725,63.51039260969977,52.043596730245234,800.0,67592.0
900.0,0.344898169,5.99736975432063E-9,900.0,59.44444444444444,17.73102930127723,39.368770764119596,8.749999999999995,58.86662921878752,63.753723932472695,53.97225725094577,58.88326783805351,63.31360946745562,54.4529262086514,58.85,64.2,53.5,900.0,67592.0
1000.0,0.358840674,6.241227484407523E-9,1000.0,58.3,15.911822354146329,37.66816143497757,10.706638115631678,57.96963923559639,61.917808219178085,53.92265193370166,58.01402362729326,60.320284697508896,55.70776255707762,57.92532270570605,63.60225140712945,52.24839400428265,1000.0,67608.0
1100.0,0.372972259,6.488392268686243E-9,1100.0,56.72727272727273,13.20578318685289,35.326086956521735,10.694183864915562,56.61565472898541,59.24657534246576,53.87596899224808,56.64106915995052,57.570715474209656,55.71142284569138,56.59026309432813,61.022927689594354,52.15759849906192,1100.0,67608.0
1200.0,0.391520347,6.812841128576545E-9,1200.0,56.833333333333336,13.666666666666671,35.491905354919055,13.666666666666671,56.84307790341542,57.95454545454546,55.65068493150683,56.852825815653404,56.4873417721519,57.21830985915493,56.833333333333336,59.5,54.166666666666664,1200.0,67616.0
1300.0,0.405712183,7.061089088687051E-9,1300.0,58.30769230769231,16.517972450693936,37.70114942528735,14.375987361769344,58.26039859192237,59.73254086181278,56.77830940988836,58.26580246123052,59.20471281296024,57.326892109500804,58.25499572488637,60.26986506746626,56.24012638230648,1300.0,67616.0
1400.0,0.419617992,7.304362556085817E-9,1400.0,58.64285714285714,17.129444094578343,38.20704375667022,13.19340329835082,58.56494166446928,60.36960985626282,56.75877520537714,58.56227106227105,60.57692307692307,56.547619047619044,58.567612510252374,60.16371077762619,56.97151424287856,1400.0,67624.0
1500.0,0.436356082,7.597185015529392E-9,1500.0,59.266666666666666,18.279090503789572,39.14342629482072,12.714285714285717,59.14138922625393,61.451104100946374,56.81978798586572,59.13099639214289,62.038216560509554,56.22377622377622,59.15178571428572,60.875,57.42857142857143,1500.0,67624.0
