learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.150266501,2.604561435420894E-9,100.0,55.00000000000001,23.52141400407886,31.818181818181824,-36.36363636363637,67.26821679381776,50.54945054945055,58.71559633027523,68.96929824561404,95.83333333333334,42.10526315789473,65.6490275893261,34.32835820895522,96.96969696969697,100.0,67000.0
200.0,0.196825648,3.413303168792692E-9,200.0,61.0,30.893948790644103,41.35338345864661,-16.417910447761212,70.06059003039353,59.7938144329897,62.135922330097095,70.56256634037032,95.08196721311475,46.043165467625904,69.56570530804623,43.609022556390975,95.52238805970148,200.0,67144.0
300.0,0.235311037,4.082120702661988E-9,300.0,73.0,48.187633262260135,59.5,19.000000000000004,76.86106364496298,75.5287009063444,69.88847583643121,75.5205745516961,95.41984732824427,55.62130177514793,78.25,62.5,94.0,300.0,67176.0
400.0,0.262452377,4.555761932000105E-9,400.0,59.75,18.28655534690149,39.70037453183521,3.5928143712574885,59.17018980567326,64.30155210643017,53.86819484240687,59.08105655812078,66.5137614678899,51.64835164835166,59.259592403176484,62.231759656652365,56.287425149700596,400.0,67456.0
500.0,0.284661732,4.943749189612767E-9,500.0,54.0,6.344164834269907,31.13772455089821,1.2875536480686707,53.23598438795935,60.48109965635739,44.97607655502392,53.34191334191334,55.87301587301587,50.810810810810814,53.13047531786983,65.91760299625467,40.343347639484975,500.0,67528.0
600.0,0.314175374,5.459644402989912E-9,600.0,50.5,1.0000000000000009,25.935162094763093,1.0000000000000009,50.53641183742978,57.991513437057996,39.75659229208925,50.572876220544615,50.368550368550366,50.77720207253886,50.5,68.33333333333333,32.666666666666664,600.0,67568.0
700.0,0.3347507,5.819426585030226E-9,700.0,52.714285714285715,3.527471978415464,29.273504273504276,0.6006006006006077,51.900814868066405,61.46682188591386,38.817005545286506,52.069652908067546,53.65853658536586,50.480769230769226,51.73306821808183,71.93460490463215,31.53153153153153,700.0,67592.0
800.0,0.354750124,6.169138487834071E-9,800.0,55.00000000000001,6.429708567529829,32.710280373831786,1.9073569482288906,53.52035230116202,64.63654223968564,38.144329896907216,53.933611608030205,56.23931623931624,51.627906976744185,53.11337792852603,75.98152424942263,30.24523160762943,800.0,67592.0
900.0,0.369918277,6.434370308893009E-9,900.0,57.44444444444444,9.97649516845129,36.37873754152823,4.24999999999999,55.48568814709375,67.29291204099061,39.10969793322735,56.21506062124575,58.71833084947839,53.7117903930131,54.775,78.8,30.75,900.0,67592.0
1000.0,0.384427919,6.688147400060876E-9,1000.0,54.1,4.9114578585811834,31.390134529147986,1.713062098501072,52.820941652896245,64.55598455598455,34.8936170212766,53.26815765676349,54.85564304461942,51.68067226890757,52.38117238691742,78.42401500938087,26.33832976445396,1000.0,67608.0
1100.0,0.404297891,7.035677938426121E-9,1100.0,51.90909090909091,2.124037892243919,28.12499999999999,0.750469043151952,51.2814381244244,62.87719298245613,31.741935483870964,51.52044924772197,52.21445221445221,50.82644628099173,51.04463437796771,79.01234567901234,23.076923076923077,1100.0,67608.0
1200.0,0.426009531,7.4154646228729855E-9,1200.0,50.16666666666667,0.33333333333334103,25.52926525529266,0.33333333333334103,50.211902151510635,61.5681233933162,29.14691943127962,50.257219288017005,50.10460251046025,50.409836065573764,50.16666666666667,79.83333333333333,20.5,1200.0,67616.0
1300.0,0.449847155,7.832439673309112E-9,1300.0,51.61538461538462,1.6317319166955324,27.70114942528736,0.6319115323854684,51.054245453310074,63.45148169668797,28.441410693970422,51.30783233828544,51.802656546489565,50.81300813008131,50.803152925906716,81.85907046476761,19.747235387045812,1300.0,67616.0
1400.0,0.465796253,8.111459209126317E-9,1400.0,53.0,3.068922920222324,29.775880469583782,1.349325337331339,52.004653935488875,65.03719447396386,28.322440087145967,52.528268128530264,53.26370757180157,51.79282868525896,51.49137573096125,83.4924965893588,19.490254872563717,1400.0,67624.0
1500.0,0.481458927,8.385467935459068E-9,1500.0,54.53333333333333,4.925650557620817,32.07171314741036,2.571428571428574,53.2236581323562,66.56862745098039,28.958333333333336,54.10980148883375,54.75806451612903,53.46153846153846,52.36607142857142,84.875,19.857142857142858,1500.0,67624.0
