learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.14255463,2.4691217857723433E-9,100.0,73.0,35.46845124282982,59.09090909090909,18.181818181818166,68.00821831328656,80.85106382978724,54.23728813559322,69.28274428274428,77.02702702702703,61.53846153846154,66.77973767526007,85.07462686567165,48.484848484848484,100.0,66952.0
200.0,0.199885232,3.464253945160243E-9,200.0,80.5,52.921294060840175,70.67669172932331,41.79104477611941,77.22547354098452,86.3157894736842,66.08695652173913,80.04385964912281,80.92105263157895,79.16666666666666,74.59881045898328,92.4812030075188,56.71641791044776,200.0,67096.0
300.0,0.220820123,3.827810552022937E-9,300.0,86.0,66.66666666666666,78.99999999999999,57.99999999999999,83.87026866374,90.04739336492892,76.40449438202246,86.38253638253639,85.58558558558559,87.17948717948718,81.5,95.0,68.0,300.0,67128.0
400.0,0.246742581,4.2798592790402466E-9,400.0,69.75,33.46164421226285,54.68164794007491,27.54491017964072,68.5855790568454,77.71639042357276,52.91828793774318,71.8100358422939,68.06451612903226,75.55555555555556,65.63825139420729,90.55793991416309,40.7185628742515,400.0,67408.0
500.0,0.272027508,4.721261391577621E-9,500.0,61.8,20.2145435102259,42.81437125748503,18.025751072961366,62.63723023576656,71.61961367013373,41.59021406727829,65.85001572162248,59.35960591133005,72.3404255319149,59.72336082043368,90.2621722846442,29.184549356223176,500.0,67480.0
600.0,0.294039839,5.105761173321969E-9,600.0,56.49999999999999,12.99999999999999,34.91271820448877,12.99999999999999,59.02880945021756,67.41573033707866,34.58646616541353,61.79459263291599,53.89221556886228,69.6969696969697,56.50000000000001,90.0,23.0,600.0,67520.0
700.0,0.308528325,5.358928357387582E-9,700.0,59.14285714285714,15.4339396294638,38.88888888888889,14.114114114114118,60.73869281122243,70.20833333333334,35.0,64.39614820885407,56.82967959527825,71.96261682242991,57.47436810107109,91.82561307901908,23.123123123123122,700.0,67544.0
800.0,0.323588015,5.622076577995386E-9,800.0,61.0,17.16502611823895,41.6822429906542,14.986376021798362,61.89878028513942,72.04301075268818,35.53719008264463,66.18112650323485,58.85797950219619,73.50427350427351,58.13694457904109,92.8406466512702,23.43324250681199,800.0,67544.0
900.0,0.337304324,5.861750987405992E-9,900.0,63.22222222222222,20.198231984998657,45.01661129568107,17.25,63.631285847153265,73.8752959747435,37.89868667917449,68.47839938830127,61.016949152542374,75.93984962406014,59.425000000000004,93.60000000000001,25.25,900.0,67544.0
1000.0,0.350931136,6.099917959034857E-9,1000.0,59.4,14.760679059260218,39.31240657698056,13.06209850107065,60.558267618078546,70.83333333333334,33.223684210526315,64.51176116051155,57.392316647264266,71.63120567375887,57.06135928102816,92.4953095684803,21.627408993576015,1000.0,67560.0
1100.0,0.3655524,6.355465784033553E-9,1100.0,56.63636363636364,11.257915245981495,35.19021739130435,10.50656660412758,58.55036099919894,68.63905325443788,29.749631811487482,61.947531661928146,54.71698113207547,69.17808219178082,55.50641770153965,92.06349206349206,18.94934333958724,1100.0,67560.0
1200.0,0.379277922,6.595386397724764E-9,1200.0,54.25,8.499999999999996,31.63138231631382,8.499999999999996,56.72922472198777,66.62613981762917,27.28476821192053,59.44590214539281,52.44019138755981,66.45161290322581,54.25,91.33333333333333,17.166666666666668,1200.0,67568.0
1300.0,0.396365101,6.8940684057337545E-9,1300.0,56.15384615384615,10.584351175435664,34.48275862068965,9.952606635071087,58.113054464496386,68.26280623608018,29.1044776119403,61.35844482774696,54.29583702391497,68.42105263157895,55.19373014914344,91.904047976012,18.48341232227488,1300.0,67568.0
1400.0,0.410239308,7.1366167309963045E-9,1400.0,57.99999999999999,12.99403260821313,37.24653148345784,11.844077961019481,59.69811638010475,69.7841726618705,31.147540983606554,63.54995569388664,55.976916735366856,71.12299465240642,56.28652249591439,92.63301500682128,19.940029985007495,1400.0,67576.0
1500.0,0.423824244,7.374108032344117E-9,1500.0,59.53333333333334,14.930393347659553,39.541832669322716,13.285714285714297,60.88940754441775,71.05388650453028,32.779623477297896,65.17332533204706,57.4402467232074,72.9064039408867,57.13392857142857,93.125,21.142857142857142,1500.0,67576.0
