learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.16528639,2.8628479232183763E-9,100.0,54.0,22.271037512673207,30.303030303030308,-39.3939393939394,66.70269236287122,48.88888888888889,58.18181818181818,68.60530773574251,95.65217391304348,41.55844155844156,64.90275893260969,32.83582089552239,96.96969696969697,100.0,66952.0
200.0,0.212320759,3.6792603025688893E-9,200.0,60.5,30.212014134275613,40.60150375939849,-17.91044776119405,69.7685713194327,59.06735751295336,61.83574879227053,70.35714285714285,95.0,45.714285714285715,69.18976545842217,42.857142857142854,95.52238805970148,200.0,67096.0
300.0,0.242456107,4.202592612515307E-9,300.0,72.33333333333334,46.908315565032,58.50000000000001,17.000000000000025,76.14834899698982,74.92447129909367,69.14498141263941,74.84303717421746,94.65648854961832,55.02958579881657,77.5,62.0,93.0,300.0,67128.0
400.0,0.268961309,4.664803519499384E-9,400.0,59.25,17.271481500279148,38.951310861423224,2.3952095808383254,58.66116502702946,63.85809312638582,53.29512893982808,58.57697348523037,66.05504587155964,51.098901098901095,58.74559893089357,61.80257510729614,55.688622754491014,400.0,67408.0
500.0,0.301002601,5.224152335385895E-9,500.0,53.400000000000006,5.148830847391387,30.239520958083837,0.0,52.62404842262195,59.89672977624786,44.39140811455847,52.70700636942676,55.4140127388535,50.0,52.541351207985734,65.1685393258427,39.91416309012876,500.0,67480.0
600.0,0.335098402,5.819719794502274E-9,600.0,49.666666666666664,-0.666666666666671,24.688279301745634,-0.666666666666671,49.63966032150719,57.58426966292135,38.114754098360656,49.612683329890515,49.75728155339806,49.46808510638298,49.66666666666667,68.33333333333333,31.0,600.0,67520.0
700.0,0.364601725,6.335251452157066E-9,700.0,52.28571428571429,2.390554678824036,28.63247863247864,-0.30030030030028054,51.32629983494677,61.95899772209567,36.015325670498086,51.482206276726814,53.22896281800391,49.735449735449734,51.17133482256098,74.11444141689373,28.22822822822823,700.0,67544.0
800.0,0.391610666,6.80719707418854E-9,800.0,54.50000000000001,5.023450597191143,31.96261682242992,0.8174386920980995,52.82906179624115,64.86486486486487,35.46099290780142,53.24140717731141,55.72139303482587,50.76142131979695,52.42305441410602,77.59815242494227,27.247956403269757,800.0,67544.0
900.0,0.410019103,7.12886023197737E-9,900.0,57.44444444444444,9.551298871687216,36.37873754152823,4.24999999999999,55.39156394741324,67.78805719091673,37.315875613747956,56.259501028346605,58.490566037735846,54.02843601895735,54.55,80.60000000000001,28.499999999999996,900.0,67544.0
1000.0,0.423910499,7.371651555216974E-9,1000.0,54.1,4.676856620701111,31.390134529147986,1.713062098501072,52.76644973598361,65.04188880426506,33.1877729257642,53.28088578088579,54.74358974358975,51.81818181818182,52.261852630056524,80.1125703564728,24.411134903640257,1000.0,67560.0
1100.0,0.437597941,7.610878207091655E-9,1100.0,51.90909090909091,2.023181729402802,28.12499999999999,0.750469043151952,51.26104968629832,63.34026334026335,30.11889035667107,51.53090345727331,52.1689497716895,50.89285714285714,50.994007498072534,80.59964726631394,21.388367729831145,1100.0,67560.0
1200.0,0.45034001,7.833608170598744E-9,1200.0,50.16666666666667,0.33333333333334103,25.52926525529266,0.33333333333334103,50.21956431730893,62.00762388818297,27.602905569007262,50.272573640311826,50.10266940451745,50.442477876106196,50.16666666666667,81.33333333333333,19.0,1200.0,67568.0
1300.0,0.464968272,8.089308580118747E-9,1300.0,51.61538461538462,1.5592570655340672,27.70114942528736,0.6319115323854684,51.0443285787058,63.82978723404255,26.94541231126597,51.32479052107881,51.77238805970149,50.877192982456144,50.766915120638735,83.20839580209895,18.325434439178515,1300.0,67568.0
1400.0,0.480338943,8.358018028464994E-9,1400.0,52.85714285714286,2.63907123574621,29.562433297758805,1.0494752623688164,51.79452088797684,65.29968454258676,26.503340757238302,52.31873914508645,53.12232677502139,51.515151515151516,51.28070344091255,84.72032742155525,17.841079460269864,1400.0,67576.0
1500.0,0.495121958,8.616454098402623E-9,1500.0,54.400000000000006,4.487060137776953,31.872509960159366,2.285714285714296,53.039587199012594,66.76384839650146,27.388535031847134,53.95813898487696,54.610492845786965,53.30578512396694,52.151785714285715,85.875,18.428571428571427,1500.0,67576.0
